,objectid,x,y,date_updte,address,city,state,zipcode,fac_name,fac_type,ferry_t,ferry_i,bus_t,bus_i,bus_code_s,bus_supp,rail_i,rail_c,rail_h,rail_light,air_serve,bike_share,bike_sys,i_service,t_service,modes_serv,mode_bus,mode_air,mode_rail,mode_ferry,mode_bike
0,19,-112.00806000000001,33.43417,04/16/16,3400 E Sky Harbor Blvd,Phoenix,AZ,85034,Phoenix Sky Harbor Intl,1,3,3,1.0,1,1,3,0,3,3,2,1,0,,1,1,2,1,1,0,0,0
1,20,-112.014,33.4365,09/16/16,3400 E Sky Harbor Blvd,Phoenix,AZ,85034,Sky Harbor Intl Airport,2,3,3,1.0,1,1,3,0,3,3,2,1,0,,1,1,2,1,1,0,0,0
2,21,-111.65066999999999,35.19801,04/16/16,1 E Route 66,Flagstaff,AZ,86001,Amtrak Station,10,3,3,2.0,1,1,3,1,3,3,3,0,3,,1,0,2,1,0,1,0,0
3,22,-111.65299999999999,35.1989,09/16/16,1 E Rte 66,Flagstaff,AZ,86001,Amtrak Station,2,3,3,2.0,1,1,3,1,3,3,3,0,3,,1,0,2,1,0,1,0,0
4,23,-112.18867,35.252390000000005,04/16/16,No address,Williams Jct,AZ,86046,Amtrak Station,10,3,3,0.0,0,1,3,1,3,3,3,0,3,,1,0,2,1,0,1,0,0
5,24,-112.18867,35.252390000000005,09/16/16,No address,Williams Jct,AZ,86046,Amtrak Station,2,3,3,0.0,0,1,3,1,3,3,3,0,3,,1,0,2,1,0,1,0,0
6,25,-112.189,35.2513,09/16/16,233 N Grand Canyon Blvd,Williams,AZ,86046,Grand Canyon Railway Depot,2,3,3,0.0,0,1,3,0,3,3,3,0,3,,1,0,1,1,0,0,0,0
7,323,-87.905,41.9768,09/16/16, Terminal 1 and2 and3&5,Chicago,IL,60018,OHare International Airport,2,0,3,1.0,1,0,0,0,1,1,0,1,0,,1,1,3,1,1,1,0,0
8,324,-87.90446999999999,41.97958,04/16/16,10000 W OHare,Chicago,IL,60666,Chicago Ohare Intl,1,0,3,1.0,1,0,0,0,1,1,0,1,0,,1,1,3,1,1,1,0,0
9,325,-87.88056,41.995,04/16/16,1001 Zemke Blvd,Chicago,IL,60666,OHare Transfer,11,0,3,1.0,1,0,0,0,1,1,0,1,0,,1,1,3,1,1,1,0,0
10,326,-87.9042,41.9777,04/16/16,1000 OHare Dr,Chicago,IL,60666,OHare Blue Line Station,9,0,3,1.0,1,0,0,0,1,1,0,1,0,,1,1,3,1,1,1,0,0
11,327,-87.80534,42.0742,04/16/16,1116 Depot St,Glenview,IL,60025,Glenview Station,10,0,3,1.0,0,0,0,1,1,0,0,0,0,,1,1,2,1,0,1,0,0
12,328,-87.80534,42.0742,04/16/16,1116 Depot St,Glenview,IL,60025,Glenview Station,11,0,3,1.0,0,0,0,1,1,0,0,0,0,,1,1,2,1,0,1,0,0
13,329,-87.805,41.8866,04/16/16,1 Harlem Ave,Oak Park,IL,60130,Harlem/Lake Green Line Station,9,0,3,1.0,0,0,0,0,1,1,0,0,0,,0,1,2,1,0,1,0,0
14,330,-87.80111,41.88694,04/16/16,103 N Marion St,Oak Park,IL,60301,Oak Park,11,0,3,1.0,0,0,0,0,1,1,0,0,0,,0,1,2,1,0,1,0,0
15,331,-87.68472,42.04806,04/16/16,901 Davis St,Evanston,IL,60201,Evanston Davis Street,11,0,3,1.0,0,0,0,0,1,1,0,0,1,,0,1,3,1,0,1,0,1
16,332,-87.6835,42.0473,04/16/16,1612 Benson,Evanston,IL,60201,Davis Purple Line Station,9,0,3,1.0,0,0,0,0,1,1,0,0,1,,0,1,3,1,0,1,0,1
17,333,-87.6793,42.033,04/16/16,836 Chicago Ave,Evanston,IL,60202,Main Purple Line Station,9,0,3,1.0,0,0,0,0,1,1,0,0,1,,0,1,3,1,0,1,0,1
18,334,-87.68,42.03333,04/16/16,600 Main St,Evanston,IL,60210,Evanston Main Street,11,0,3,1.0,0,0,0,0,1,1,0,0,1,,0,1,3,1,0,1,0,1
19,335,-87.66851,41.56235,04/16/16,18015 Park Ave,Homewood,IL,60430,Metra/Amtrak Station,10,0,3,1.0,0,0,0,1,1,0,0,0,0,,1,1,2,1,0,1,0,0
20,336,-87.66851,41.56235,04/16/16,18015 Park Ave,Homewood,IL,60430,Metra/Amtrak Station,11,0,3,1.0,0,0,0,1,1,0,0,0,0,,1,1,2,1,0,1,0,0
